Nome;Data de Lancamento;Versao do Python;Quantidade de downloads no utimo mes
langchain;02/03/2023;py3;-1
nltk;02/01/2023;py3;-1
textblob;10/06/2015;2.7;-1
gensim;10/03/2023;cp310;-1
memray;20/06/2023;cp310;-1
codon;03/07/2016;py2;-1
pytesseract;19/02/2022;py2.py3;-1
wxPython;08/06/2023;cp310;-1
pygame;10/06/2023;cp310;-1
pyglet;31/10/2022;py3;-1
PyOpenGL;23/05/2023;py3;-1
requests;29/04/2016;2.7;-1
Scrapy;08/05/2023;py2.py3;-1
BeautifulSoup;05/10/2019;py2;-1
Django;20/03/2023;py3;-1
Flask;01/05/2023;py3;-1
pandas;28/06/2023;cp310;-1
matplotlib;05/07/2023;cp310;-1
plotly;24/06/2022;py2.py3;-1
bokeh;22/06/2023;py3;-1
SQLAlchemy;06/04/2023;cp310;-1
numpy;20/04/2016;cp26;-1
scipy;20/10/2022;cp310;-1
sympy;20/09/2021;py3;-1
keras;22/04/2022;py2.py3;-1
tensorflow;16/11/2022;cp310;-1
pytorch;24/04/2019;source;-1
scikit-learn;15/06/2023;cp310;-1
imbalanced-learn;16/05/2022;py3;-1
Theano;27/07/2020;source;-1
lightgbm;24/01/2023;py3;-1
eli5;05/07/2019;py2.py3;-1
PySoundFile;03/02/2017;3.4;-1
fugue;07/06/2023;py3;-1
pywin32;26/03/2023;cp310;-1
py2exe;21/10/2014;3.4;-1
py2app;27/07/2014;source;-1
pyobjc;07/06/2023;py3;-1
pyusb;09/07/2021;py3;-1
pyserial;21/09/2020;py2.py3;-1
seaborn;22/01/2020;py2.py3;-1
ipython;27/01/2023;py3;-1
poetry;29/05/2023;py3;-1
Kivy;17/06/2023;cp310;-1
pendulum;23/11/2022;cp310;-1
loguru;10/04/2023;py3;-1
pipenv;20/02/2018;source;-1
pytest;23/06/2023;py3;-1
moviepy;05/10/2020;source;-1
ruff;03/11/2022;py3;-1
